,Rank,movie_title,year,star_cast,Rating,votes,link
0,1,Nayakan,1987,"Mani Ratnam (dir.), Kamal Haasan, Saranya Ponvannan",8.489239530439171,17701,https://www.imdb.com/title/tt0093603/
1,2,Pariyerum Perumal,2018,"Mari Selvaraj (dir.), Kathir, Anandhi",8.480990363193408,11424,https://www.imdb.com/title/tt8176054/
2,3,Anbe Sivam,2003,"Sundar C. (dir.), Kamal Haasan, Madhavan",8.476807868472722,18329,https://www.imdb.com/title/tt0367495/
3,4,Pather Panchali,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.46933283414155,26526,https://www.imdb.com/title/tt0048473/
4,5,Hanky Panky,1979,"Hrishikesh Mukherjee (dir.), Amol Palekar, Bindiya Goswami",8.465777877048525,18452,https://www.imdb.com/title/tt0079221/
5,6,C/o Kancharapalem,2018,"Venkatesh Maha (dir.), Radha Bessy, Subba Rao Vepada",8.463281671895373,5573,https://www.imdb.com/title/tt7391996/
6,7,The World of Apu,1959,"Satyajit Ray (dir.), Soumitra Chatterjee, Sharmila Tagore",8.460607355683095,12979,https://www.imdb.com/title/tt0052572/
7,8,Kireedam,1989,"Sibi Malayil (dir.), Mohanlal, Thilakan",8.449045698106286,6771,https://www.imdb.com/title/tt0237376/
8,9,Manichitrathazhu,1993,"Fazil (dir.), Mohanlal, Shobana",8.44711278695634,9471,https://www.imdb.com/title/tt0214915/
9,1, Natsamrat,2016,"Mahesh Manjrekar (dir.), Nana Patekar, Medha Manjrekar",8.434729216472284,5906,https://www.imdb.com/title/tt5311546/
10,11,96,2018,"C. Prem Kumar (dir.), Vijay Sethupathi, Adithya Bhaskar",8.424232617678426,22900,https://www.imdb.com/title/tt7019842/
11,12,Thevar Magan,1992,"Bharathan (dir.), Kamal Haasan, Shivaji Ganesan",8.411436036264087,6120,https://www.imdb.com/title/tt0105575/
12,13,Black Friday,2004,"Anurag Kashyap (dir.), Kay Kay Menon, Pawan Malhotra",8.411257752414928,19604,https://www.imdb.com/title/tt0400234/
13,14,Kumbalangi Nights,2019,"Madhu C. Narayanan (dir.), Shane Nigam, Soubin Shahir",8.3996961134555,11263,https://www.imdb.com/title/tt8413338/
14,15,Drishyam 2,2021,"Jeethu Joseph (dir.), Mohanlal, Meena",8.35564862091259,28461,https://www.imdb.com/title/tt12361178/
15,16,Visaaranai,2015,"Vetrimaaran (dir.), Dinesh, Samuthirakani",8.352500943879587,8973,https://www.imdb.com/title/tt4991384/
16,17,3 Idiots,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.349891353108898,360286,https://www.imdb.com/title/tt1187043/
17,18,Jersey,2019,"Gowtam Tinnanuri (dir.), Nani, Shraddha Srinath",8.331545293690048,10924,https://www.imdb.com/title/tt8948790/
18,19,Like Stars on Earth,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.331197683036306,176915,https://www.imdb.com/title/tt0986264/
19,20,Soorarai Pottru,2020,"Sudha Kongara (dir.), Madhavan, Suriya",8.32994674651241,84802,https://www.imdb.com/title/tt10189514/
20,21,Thalapathi,1991,"Mani Ratnam (dir.), Rajinikanth, Mammootty",8.308848927606384,10936,https://www.imdb.com/title/tt0101649/
